VITTORIA,HP,N MOSSE,N ATTACCHI MISCHIA,N ATTACCHI DISTANZA,N POZIONI,REWARD
True,16,26,1,5,1,7.66
True,20,12,1,3,0,9.89
True,11,20,5,2,1,5.04
True,20,32,3,2,1,9.69
True,20,29,5,0,0,9.63
True,13,53,4,0,2,3.1
True,20,22,0,4,0,9.79
True,20,27,2,4,2,9.74
True,11,39,4,0,2,5.12
True,20,24,2,2,0,9.77
True,19,38,2,4,3,9.13
True,20,30,2,4,0,9.71
True,20,25,4,0,1,9.67
True,20,35,2,3,0,9.66
True,19,23,3,3,1,9.28
True,17,26,5,1,1,8.25
True,16,30,6,1,1,7.35
True,20,10,4,1,1,9.91
True,20,24,5,2,0,9.77
True,16,25,8,3,2,7.76
True,17,53,6,2,2,7.8
True,20,19,4,0,0,9.82
True,19,25,5,4,1,9.26
True,20,31,2,4,1,9.7
True,20,21,3,2,0,9.8
True,16,52,4,4,1,7.49
True,15,22,3,2,1,7.2
True,20,12,0,4,1,9.89
True,20,35,3,2,1,9.66
True,20,42,1,4,1,9.59
True,20,40,4,1,2,9.43
True,20,13,3,3,1,9.88
True,20,21,3,2,2,9.71
True,13,24,2,3,1,6.18
True,20,38,3,2,1,9.63
True,17,13,5,1,1,8.38
True,15,41,4,2,1,5.66
True,20,30,3,3,2,9.71
True,20,36,3,3,2,9.2
True,20,17,4,1,0,9.75
True,20,42,3,5,0,8.87
True,20,29,2,4,0,9.72
True,19,12,3,3,0,9.39
True,20,86,2,5,1,9.15
True,20,5,2,2,1,9.96
True,20,28,3,2,0,9.73
True,20,19,4,3,1,9.82
True,14,35,3,5,1,6.66
True,8,26,5,1,2,3.75
True,13,47,5,2,1,5.41
True,20,28,4,4,1,9.64
True,7,44,9,0,3,1.18
True,20,50,4,3,0,9.42
True,20,16,4,1,1,9.76
True,20,24,6,2,0,9.77
True,15,28,3,4,1,7.23
True,20,25,5,1,0,9.67
True,20,21,0,5,2,9.8
True,20,16,2,5,0,9.85
True,17,23,6,1,1,8.28
True,15,36,4,2,1,7.15
True,14,14,4,2,1,6.87
True,15,34,6,4,1,7.17
True,20,20,3,1,1,9.81
True,13,30,4,5,1,6.21
True,20,27,6,0,0,9.47
True,17,40,3,4,1,8.02
True,18,16,3,3,1,8.85
True,20,21,1,4,1,9.8
True,16,22,8,1,2,7.61
True,20,16,4,0,0,9.67
True,20,35,4,1,1,9.66
True,16,31,3,5,2,7.7
True,20,30,3,4,1,9.71
True,16,43,1,3,2,7.58
True,15,32,5,3,1,7.19
True,20,29,4,1,1,9.63
True,20,23,1,3,1,9.69
True,16,20,2,3,0,7.81
True,19,20,4,1,0,9.31
True,13,93,4,0,2,-1.36
True,20,23,2,4,0,9.78
True,17,62,1,4,2,7.8
