VITTORIA,HP,N MOSSE,N ATTACCHI MISCHIA,N ATTACCHI DISTANZA,N POZIONI,REWARD
True,20,40,1,5,3,9.6
True,16,36,2,9,3,7.64
True,18,7,1,4,1,8.93
True,11,50,1,8,1,5
True,18,12,1,3,1,8.88
True,11,37,1,7,3,5.13
True,7,33,0,5,4,3.17
True,15,28,3,5,3,7.22
True,14,65,1,11,3,6.35
True,15,26,1,6,1,7.24
True,20,24,1,4,2,9.76
True,17,16,0,5,1,8.34
True,20,7,2,2,0,9.93
True,8,51,0,6,4,3.49
True,12,28,3,3,1,5.72
True,12,32,0,6,3,5.68
True,11,39,0,4,3,5.11
True,7,21,0,6,1,3.29
True,19,58,2,8,7,8.92
True,10,21,1,4,2,4.79
True,17,16,0,4,0,8.34
True,20,26,2,3,4,9.74
True,3,87,1,5,8,0.6300005
True,20,62,2,4,1,9.38
True,5,54,1,12,2,1.96
True,17,14,1,4,0,8.36
True,19,33,0,7,5,9.17
True,20,39,2,4,2,9.61
True,17,19,0,5,2,8.31
True,15,17,0,5,1,7.33
True,12,24,2,5,1,5.76
True,11,42,4,9,2,5.08
True,15,50,1,5,4,7
True,13,94,2,4,8,5.56
True,17,20,0,5,0,8.3
True,12,28,4,3,1,5.72
True,15,24,1,4,1,7.26
True,19,35,3,5,2,9.15
True,9,28,0,5,2,4.22
True,15,29,2,6,2,7.21
True,17,73,5,16,3,7.77
True,13,24,0,5,1,6.26
True,15,31,3,3,3,7.19
True,10,20,2,2,1,4.8
True,10,20,1,4,2,4.8
True,10,27,0,5,3,4.73
True,20,5,3,1,1,9.95
True,13,40,0,6,3,6.1
True,12,38,1,5,4,5.62
True,6,63,0,8,3,2.37
True,10,28,1,7,0,4.72
True,20,31,2,3,3,9.69
True,9,14,0,5,1,4.36
False,0,72,0,11,4,-0.7199996
True,6,33,0,6,3,2.67
True,18,65,0,7,3,8.35
True,20,6,1,3,1,9.94
True,9,12,0,5,0,4.38
True,7,44,0,7,2,3.06
True,15,19,2,4,1,7.31
True,9,16,3,5,1,4.34
True,10,27,0,6,2,4.73
True,17,28,0,6,2,8.22
True,12,33,1,9,2,5.67
True,7,20,4,2,1,3.3
True,10,28,2,3,3,4.72
True,16,23,1,8,1,7.77
True,20,26,2,4,4,9.74
True,13,38,1,4,3,6.12
True,14,21,0,5,1,6.79
True,7,38,0,6,0,3.12
True,20,15,1,4,1,9.85
True,14,17,1,4,0,6.83
True,20,25,1,5,4,9.75
True,20,25,4,3,1,9.75
True,15,10,1,3,0,7.4
True,16,24,0,5,1,7.76
True,19,17,3,2,0,9.33
True,19,27,2,3,0,9.23
True,8,129,1,8,4,2.710001
True,15,77,3,4,1,6.73
True,20,21,0,6,1,9.79
True,15,32,4,8,1,7.18
True,14,28,1,3,5,6.72
True,14,90,0,6,1,6.1
True,17,37,1,4,0,8.13
True,13,47,1,9,3,6.03
True,17,24,2,3,2,8.26
True,17,19,2,5,2,8.31
True,9,30,0,6,2,4.2
True,10,7,4,1,1,4.93
True,18,54,2,6,2,8.46
True,11,45,1,3,4,5.05
True,10,45,1,5,5,4.55
True,20,8,4,0,2,9.92
